distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,37.41484029998537,None,-0.5574074,-0.09166667,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,24,Female,2022-05-06_12h53.52.931,Parachute,2022.1.1,60.066553730849435,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,,,,,,,,44.617985479952765,None,None,0.028703704,-0.010185185,0,0,0,1.0020334800356068,None,100.30296959995758,None,100.30296959995758,None,-0.08796296,-0.1,0,0,0,0.013269780029077083,None,107.54946139996173,None,107.54946139996173,None,109.56963579996955,None,109.56963579996955,None,prac,k,k,1,1.0504871999728493,111.59107480000239,None,None,0,,,,,,,,,,,,,,118,24,Female,2022-05-06_12h53.52.931,Parachute,2022.1.1,60.066553730849435,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5080638999934308,113.62139389995718,None,None,1,,,,,,,,,,,,,,118,24,Female,2022-05-06_12h53.52.931,Parachute,2022.1.1,60.066553730849435,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.498852499993518,116.12779070000397,None,None,1,,,,,,,,,,,,,,118,24,Female,2022-05-06_12h53.52.931,Parachute,2022.1.1,60.066553730849435,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4983580999542028,118.62743860000046,None,None,1,,,,,,,,,,,,,,118,24,Female,2022-05-06_12h53.52.931,Parachute,2022.1.1,60.066553730849435,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.498559900035616,121.1245016999892,None,None,1,,,,,,,,,,,,,,118,24,Female,2022-05-06_12h53.52.931,Parachute,2022.1.1,60.066553730849435,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.498391899978742,123.62232599995332,None,None,1,,,,,,,,,,,,,,118,24,Female,2022-05-06_12h53.52.931,Parachute,2022.1.1,60.066553730849435,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0867828999762423,126.12306279997574,None,None,0,,,,,,,,,,,,,,118,24,Female,2022-05-06_12h53.52.931,Parachute,2022.1.1,60.066553730849435,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4932006999733858,128.2081752999802,None,None,1,,,,,,,,,,,,,,118,24,Female,2022-05-06_12h53.52.931,Parachute,2022.1.1,60.066553730849435,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4992142000119202,130.70425129996147,None,None,1,,,,,,,,,,,,,,118,24,Female,2022-05-06_12h53.52.931,Parachute,2022.1.1,60.066553730849435,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9870410999865271,133.2056281999685,None,None,0,,,,,,,,,,,,,,118,24,Female,2022-05-06_12h53.52.931,Parachute,2022.1.1,60.066553730849435,
positive,yellow,2,None,k,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4932018000399694,135.1990934999776,None,None,1,,,,,,,,,,,,,,118,24,Female,2022-05-06_12h53.52.931,Parachute,2022.1.1,60.066553730849435,
negative,yellow,2,k,None,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9538619999657385,137.6888649999746,None,None,0,,,,,,,,,,,,,,118,24,Female,2022-05-06_12h53.52.931,Parachute,2022.1.1,60.066553730849435,
negative,red,2,None,None,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4930069000110961,139.64215929998318,None,None,1,,,,,,,,,,,,,,118,24,Female,2022-05-06_12h53.52.931,Parachute,2022.1.1,60.066553730849435,
