distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,34.97435889999997,None,0.12592593,0.023148147,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,21,Female,2022-05-18_16h07.45.013,Main,2022.1.1,59.99746810682909,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,,,,,,,,39.74674265000006,None,None,0.39444444,-0.3962963,0,0,0,1.0020967000000383,None,94.40653310000016,None,94.40653310000016,None,-0.09259259,-0.053703703,0,0,0,0.012856649999775982,None,97.00904000000014,None,97.00904000000014,None,98.98860760000002,None,98.98860760000002,None,prac,None,None,1,1.5095052000001488,101.04039780000016,None,None,1,,,,,,,,,,,,,,219,21,Female,2022-05-18_16h07.45.013,Main,2022.1.1,59.99746810682909,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5029449999999542,103.54116190000013,None,None,1,,,,,,,,,,,,,,219,21,Female,2022-05-18_16h07.45.013,Main,2022.1.1,59.99746810682909,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.1085983999998916,106.04318560000002,None,None,0,,,,,,,,,,,,,,219,21,Female,2022-05-18_16h07.45.013,Main,2022.1.1,59.99746810682909,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.665489799999932,108.14819950000015,None,None,0,,,,,,,,,,,,,,219,21,Female,2022-05-18_16h07.45.013,Main,2022.1.1,59.99746810682909,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9299387000000934,111.83890330000008,None,None,0,,,,,,,,,,,,,,219,21,Female,2022-05-18_16h07.45.013,Main,2022.1.1,59.99746810682909,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,3.5006614999999783,113.76956089999999,None,None,0,,,,,,,,,,,,,,219,21,Female,2022-05-18_16h07.45.013,Main,2022.1.1,59.99746810682909,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4902991999999813,119.29896870000016,None,None,1,,,,,,,,,,,,,,219,21,Female,2022-05-18_16h07.45.013,Main,2022.1.1,59.99746810682909,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5026204999999209,121.78902430000016,None,None,1,,,,,,,,,,,,,,219,21,Female,2022-05-18_16h07.45.013,Main,2022.1.1,59.99746810682909,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7030954000001657,124.28385790000016,None,None,0,,,,,,,,,,,,,,219,21,Female,2022-05-18_16h07.45.013,Main,2022.1.1,59.99746810682909,
