distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,47.65454950000003,None,0.27314815,-0.23055555,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,20,Male,2022-05-24_13h40.47.089,Main,2022.1.1,59.97897137267483,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,,,,,,,,53.471713529999896,None,None,0.25555557,0.35277778,0,0,0,1.0082304000000022,None,107.59870879999994,None,107.59870879999994,None,-0.08425926,-0.0787037,0,0,0,0.012440229999810981,None,109.70352130000015,None,109.70352130000015,None,111.71514129999991,None,111.71514129999991,None,prac,None,None,1,1.4948269999999866,113.75627920000011,None,None,1,,,,,,,,,,,,,,223,20,Male,2022-05-24_13h40.47.089,Main,2022.1.1,59.97897137267483,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5021618000000672,116.24395690000006,None,None,1,,,,,,,,,,,,,,223,20,Male,2022-05-24_13h40.47.089,Main,2022.1.1,59.97897137267483,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.7458937000001242,118.74913899999979,None,None,0,,,,,,,,,,,,,,223,20,Male,2022-05-24_13h40.47.089,Main,2022.1.1,59.97897137267483,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.3183294999998907,122.52514889999998,None,None,0,,,,,,,,,,,,,,223,20,Male,2022-05-24_13h40.47.089,Main,2022.1.1,59.97897137267483,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0522590000000491,124.83682109999995,None,None,0,,,,,,,,,,,,,,223,20,Male,2022-05-24_13h40.47.089,Main,2022.1.1,59.97897137267483,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8896327999996174,126.89849979999985,None,None,0,,,,,,,,,,,,,,223,20,Male,2022-05-24_13h40.47.089,Main,2022.1.1,59.97897137267483,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4977747000002637,128.7783705999998,None,None,1,,,,,,,,,,,,,,223,20,Male,2022-05-24_13h40.47.089,Main,2022.1.1,59.97897137267483,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4986486000002515,131.28153859999998,None,None,1,,,,,,,,,,,,,,223,20,Male,2022-05-24_13h40.47.089,Main,2022.1.1,59.97897137267483,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0317254000001412,133.77776040000003,None,None,0,,,,,,,,,,,,,,223,20,Male,2022-05-24_13h40.47.089,Main,2022.1.1,59.97897137267483,
