distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,35.87767759989947,None,-0.42037037,-0.30925927,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,22,Female,2022-05-31_16h10.12.402,Parachute,2022.1.1,60.00121210356404,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,,,,,,,,98.49851777004078,None,None,0.15833333,-0.3398148,0,0,0,0.9997380501590669,None,153.76603229995817,None,153.76603229995817,None,-0.10185185,-0.06851852,0,0,0,0.01368656987324357,None,155.80407120008022,None,155.80407120008022,None,157.81688200030476,None,157.81688200030476,None,prac,None,None,1,1.5090670003555715,159.84351300029084,None,None,1,,,,,,,,,,,,,,133,22,Female,2022-05-31_16h10.12.402,Parachute,2022.1.1,60.00121210356404,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4982388000935316,162.32560139987618,None,None,1,,,,,,,,,,,,,,133,22,Female,2022-05-31_16h10.12.402,Parachute,2022.1.1,60.00121210356404,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7870953995734453,164.8252846999094,None,None,0,,,,,,,,,,,,,,133,22,Female,2022-05-31_16h10.12.402,Parachute,2022.1.1,60.00121210356404,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.6641552001237869,166.6120633003302,None,None,0,,,,,,,,,,,,,,133,22,Female,2022-05-31_16h10.12.402,Parachute,2022.1.1,60.00121210356404,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7340498003177345,168.2775286999531,None,None,0,,,,,,,,,,,,,,133,22,Female,2022-05-31_16h10.12.402,Parachute,2022.1.1,60.00121210356404,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0326367001980543,170.0057081002742,None,None,0,,,,,,,,,,,,,,133,22,Female,2022-05-31_16h10.12.402,Parachute,2022.1.1,60.00121210356404,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5087202000431716,172.03929120022804,None,None,1,,,,,,,,,,,,,,133,22,Female,2022-05-31_16h10.12.402,Parachute,2022.1.1,60.00121210356404,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4988309000618756,174.55178810004145,None,None,1,,,,,,,,,,,,,,133,22,Female,2022-05-31_16h10.12.402,Parachute,2022.1.1,60.00121210356404,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8846407001838088,177.0499986000359,None,None,0,,,,,,,,,,,,,,133,22,Female,2022-05-31_16h10.12.402,Parachute,2022.1.1,60.00121210356404,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4961632997728884,178.93754240032285,None,None,1,,,,,,,,,,,,,,133,22,Female,2022-05-31_16h10.12.402,Parachute,2022.1.1,60.00121210356404,
positive,yellow,2,None,k,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9874971001408994,181.44126110011712,None,None,0,,,,,,,,,,,,,,133,22,Female,2022-05-31_16h10.12.402,Parachute,2022.1.1,60.00121210356404,
negative,yellow,2,k,None,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4924111003056169,183.42177420016378,None,None,1,,,,,,,,,,,,,,133,22,Female,2022-05-31_16h10.12.402,Parachute,2022.1.1,60.00121210356404,
negative,red,2,None,None,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.499264100100845,185.91729500005022,None,None,1,,,,,,,,,,,,,,133,22,Female,2022-05-31_16h10.12.402,Parachute,2022.1.1,60.00121210356404,
positive,red,1,None,None,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4987945002503693,188.41846340009943,None,None,1,,,,,,,,,,,,,,133,22,Female,2022-05-31_16h10.12.402,Parachute,2022.1.1,60.00121210356404,
positive,blue,2,k,None,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4982064999639988,190.91747059999034,None,None,1,,,,,,,,,,,,,,133,22,Female,2022-05-31_16h10.12.402,Parachute,2022.1.1,60.00121210356404,
positive,blue,1,k,None,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4989609001204371,193.41714840009809,None,None,1,,,,,,,,,,,,,,133,22,Female,2022-05-31_16h10.12.402,Parachute,2022.1.1,60.00121210356404,
