distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,32.01597659999993,None,-0.036111113,0.043518517,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,,,,,,,,36.90255426999988,None,None,-0.21388888,-0.39444444,0,0,0,1.003743219999933,None,92.71254499999986,None,92.71254499999986,None,-0.11574074,-0.09259259,0,0,0,0.012965370000301846,None,94.19985159999987,None,94.19985159999987,None,96.21222179999995,None,96.21222179999995,None,prac,k,k,1,1.3130856999998741,98.25598190000005,None,None,0,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.510195099999919,100.56309659999988,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4961772000001474,103.07105690000003,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4989397000001645,105.56376049999994,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5055927999999312,108.05521759999988,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5040621000000556,110.57177839999986,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.2176437000000533,113.06892659999994,None,None,0,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4999299000000974,115.28789129999996,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4967524999999569,117.79909269999985,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0892089999999826,120.28762089999987,None,None,0,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,yellow,2,None,k,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5070040000000517,122.37665519999996,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,yellow,2,k,None,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.1997757999999976,124.89578749999987,None,None,0,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,red,2,None,None,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5016173000001345,127.08779519999985,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,red,1,None,None,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4990039000001616,129.60161859999994,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,blue,2,k,None,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8232357000001684,132.09463849999997,None,None,0,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,blue,1,k,None,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.1646255000000565,133.9181458999999,None,None,0,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,blue,1,None,k,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.506072599999925,136.08451450000007,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,blue,2,k,None,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.949164699999983,138.5928073,None,None,0,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,blue,1,k,None,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.126493900000014,140.5412887,None,None,0,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,yellow,1,None,k,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4964372999997977,142.67124309999986,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,yellow,1,k,None,,,,,1,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.1185672999999952,145.17096719999995,None,None,0,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,red,2,None,None,,,,,1,1,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.496996500000023,147.2933372,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,blue,2,None,k,,,,,1,2,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.498981699999831,149.79189700000006,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,yellow,1,None,k,,,,,1,3,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5090251999999964,152.29169950000005,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,blue,2,None,k,,,,,1,4,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5015043000000787,154.80167170000004,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,blue,1,None,k,,,,,1,5,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4973287000000255,157.30521769999996,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,yellow,2,k,None,,,,,1,6,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9932518000000528,159.80397189999985,None,None,0,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,red,1,None,None,,,,,1,7,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5030345000000125,161.7999468999999,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,yellow,2,None,k,,,,,1,8,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5074726999998802,164.3046448,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,yellow,1,k,None,,,,,1,9,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7379780999999639,166.81710840000005,None,None,0,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,yellow,2,None,k,,,,,1,10,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4946706000002905,168.55875500000002,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,yellow,2,k,None,,,,,1,11,31,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.2382889000000432,171.05350440000007,None,None,0,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,red,2,None,None,,,,,1,12,32,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4991949999998724,173.29973919999998,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,red,1,None,None,,,,,1,13,33,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5069145000002209,175.79618240000013,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,blue,2,k,None,,,,,1,14,34,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8344970999996804,178.30178569999975,None,None,0,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,blue,1,k,None,,,,,1,15,35,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.1790233000001535,180.14025349999997,None,None,0,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,blue,1,None,k,,,,,1,16,36,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4974884999996902,182.31874319999974,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,blue,2,k,None,,,,,1,17,37,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.1073264999999992,184.82047309999984,None,None,0,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,blue,1,k,None,,,,,1,18,38,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.5246159999996962,186.92832810000004,None,None,0,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,yellow,1,None,k,,,,,1,19,39,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.491824099999576,190.5014724,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.01015789999997,None,193.01015789999997,None,0.0055555557,-0.18611111,0,0,0,0.011563869999918097,None,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
negative,yellow,2,k,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.25009879999993,None,194.25009879999993,None,main,k,k,1,1.1273197000000437,196.32138150000014,None,None,0,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,red,1,None,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.5082001000000673,198.45294450000006,None,None,1,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
positive,blue,2,k,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.7046795999999631,200.96181950000005,None,None,0,,,,,,,,,,,,,,228,21,Female,2022-06-03_14h06.05.120,Main,2022.1.1,59.99059347495596,
