distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,30.115802400000575,None,0.5185185,-0.032407407,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,19,Male,2022-05-06_13h55.16.288,Main,2022.1.1,59.987642545598604,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,,,,,,,,39.625168070000385,None,None,-0.12037037,0.0074074073,0,0,0,1.002496439999959,None,95.95112130000052,None,95.95112130000052,None,-0.107407406,-0.06388889,0,0,0,0.012649370000872295,None,100.4905161000006,None,100.4905161000006,None,102.50000180000006,None,102.50000180000006,None,prac,None,None,1,1.4982524999995803,104.54713700000048,None,None,1,,,,,,,,,,,,,,211,19,Male,2022-05-06_13h55.16.288,Main,2022.1.1,59.987642545598604,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,k,0,-0.2656310000002122,107.03536930000064,None,None,1,,,,,,,,,,,,,,211,19,Male,2022-05-06_13h55.16.288,Main,2022.1.1,59.987642545598604,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,5.126922100000229,110.8160127000001,None,None,0,,,,,,,,,,,,,,211,19,Male,2022-05-06_13h55.16.288,Main,2022.1.1,59.987642545598604,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.341812800000298,117.96044280000024,None,None,0,,,,,,,,,,,,,,211,19,Male,2022-05-06_13h55.16.288,Main,2022.1.1,59.987642545598604,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,32.484291400000075,120.3054402000007,None,None,0,,,,,,,,,,,,,,211,19,Male,2022-05-06_13h55.16.288,Main,2022.1.1,59.987642545598604,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0490767999999662,154.8058813000007,None,None,0,,,,,,,,,,,,,,211,19,Male,2022-05-06_13h55.16.288,Main,2022.1.1,59.987642545598604,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5088148000004367,156.8465098000006,None,None,1,,,,,,,,,,,,,,211,19,Male,2022-05-06_13h55.16.288,Main,2022.1.1,59.987642545598604,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4961228000001938,159.35779340000045,None,None,1,,,,,,,,,,,,,,211,19,Male,2022-05-06_13h55.16.288,Main,2022.1.1,59.987642545598604,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,8.527963700000328,161.8572963000006,None,None,0,,,,,,,,,,,,,,211,19,Male,2022-05-06_13h55.16.288,Main,2022.1.1,59.987642545598604,
