distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,33.658430300070904,None,-0.08425926,-0.08055556,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,22,Female,2022-05-09_09h46.00.170,Parachute,2022.1.1,60.208937074314704,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,,,,,,,,97.74666757000378,None,None,0.108333334,-0.14351852,0,0,0,1.0073752499883994,None,101.5465454000514,None,101.5465454000514,None,-0.08981481,-0.1287037,0,0,0,0.012338070082478225,None,102.68653100007214,None,102.68653100007214,None,104.69532440009061,None,104.69532440009061,None,prac,None,None,1,1.5097928999457508,106.71933260001242,None,None,1,,,,,,,,,,,,,,121,22,Female,2022-05-09_09h46.00.170,Parachute,2022.1.1,60.208937074314704,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4985442999750376,109.20593950001057,None,None,1,,,,,,,,,,,,,,121,22,Female,2022-05-09_09h46.00.170,Parachute,2022.1.1,60.208937074314704,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7196234000148252,111.7059115000302,None,None,0,,,,,,,,,,,,,,121,22,Female,2022-05-09_09h46.00.170,Parachute,2022.1.1,60.208937074314704,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.6496180000249296,113.42518630006816,None,None,0,,,,,,,,,,,,,,121,22,Female,2022-05-09_09h46.00.170,Parachute,2022.1.1,60.208937074314704,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8649251000024378,115.07937500008848,None,None,0,,,,,,,,,,,,,,121,22,Female,2022-05-09_09h46.00.170,Parachute,2022.1.1,60.208937074314704,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.998370400047861,116.93529120006133,None,None,0,,,,,,,,,,,,,,121,22,Female,2022-05-09_09h46.00.170,Parachute,2022.1.1,60.208937074314704,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4939900001045316,118.935175599996,None,None,1,,,,,,,,,,,,,,121,22,Female,2022-05-09_09h46.00.170,Parachute,2022.1.1,60.208937074314704,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4985438000876456,121.4381424000021,None,None,1,,,,,,,,,,,,,,121,22,Female,2022-05-09_09h46.00.170,Parachute,2022.1.1,60.208937074314704,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8692069000098854,123.9389680000022,None,None,0,,,,,,,,,,,,,,121,22,Female,2022-05-09_09h46.00.170,Parachute,2022.1.1,60.208937074314704,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4941111999796703,125.80195190000813,None,None,1,,,,,,,,,,,,,,121,22,Female,2022-05-09_09h46.00.170,Parachute,2022.1.1,60.208937074314704,
positive,yellow,2,None,k,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.5704432000638917,128.29949130001478,None,None,0,,,,,,,,,,,,,,121,22,Female,2022-05-09_09h46.00.170,Parachute,2022.1.1,60.208937074314704,
negative,yellow,2,k,None,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4933391000377014,129.8686752000358,None,None,1,,,,,,,,,,,,,,121,22,Female,2022-05-09_09h46.00.170,Parachute,2022.1.1,60.208937074314704,
