target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,None,0.18981482,-0.36481482,0,0,0,1.027411614311859,None,31.825960320024752,None,82.01165890018456,None,82.01165890018456,None,0.08425926,-0.12962963,0,0,0,0.00989921996369958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h09.34.567,Boat,2022.1.1,59.99743211829064,
,,,,,1,0,1,0,,,,,,,,,None,0.03425926,-0.11296296,0,0,0,None,None,None,None,87.44354970008135,None,87.44354970008135,None,-0.073148146,-0.108333334,0,0,0,0.01283121993765235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h09.34.567,Boat,2022.1.1,59.99743211829064,
positive,positive,1,l,j,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,89.66221870016307,None,prac,2,2,1,positive,positive,l,l,1,1.7143238000571728,91.69351040013134,92.69918890018016,92.66536940005608,None,91.69351040013134,None,91.69351040013134,None,91.69351040013134,None,94.40273640002124,None,94.40273640002124,None,94.40273640002124,None,,,,,,,,,,,132,24,Female,2022-05-17_17h09.34.567,Boat,2022.1.1,59.99743211829064,
positive,neutral,1,l,j,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,positive,l,l,1,0.9544149001594633,95.42971940012649,96.433466500137,96.39872559998184,None,95.42971940012649,None,95.42971940012649,None,95.42971940012649,None,97.35690792005043,None,97.35690792005043,None,97.35690792005043,None,,,,,,,,,,,132,24,Female,2022-05-17_17h09.34.567,Boat,2022.1.1,59.99743211829064,
positive,positive,2,l,j,,,,,0,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,positive,l,l,1,0.7430084999650717,97.38258690014482,98.38232149998657,98.36556060006842,None,97.38258690014482,None,97.38258690014482,None,97.38258690014482,None,99.10448302009608,None,99.10448302009608,None,99.10448302009608,None,,,,,,,,,,,132,24,Female,2022-05-17_17h09.34.567,Boat,2022.1.1,59.99743211829064,
positive,negative,1,l,j,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,positive,l,l,1,0.916173999896273,99.1374921000097,100.14893340016715,100.13198700011708,None,99.1374921000097,None,99.1374921000097,None,99.1374921000097,None,101.0232620200375,None,101.0232620200375,None,101.0232620200375,None,,,,,,,,,,,132,24,Female,2022-05-17_17h09.34.567,Boat,2022.1.1,59.99743211829064,
positive,negative,2,l,j,,,,,0,4,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,positive,l,l,1,0.7652662999462336,101.05259780003689,102.06770780007355,102.0489591001533,None,101.05259780003689,None,101.05259780003689,None,101.05259780003689,None,102.79240842007566,None,102.79240842007566,None,102.79240842007566,None,,,,,,,,,,,132,24,Female,2022-05-17_17h09.34.567,Boat,2022.1.1,59.99743211829064,
neutral,neutral,1,k,k,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,k,,0,1.5339352001901716,102.8124796000775,103.8330877001863,103.8088225000538,None,102.8124796000775,None,102.8124796000775,None,102.8124796000775,None,105.34011410013773,None,105.34011410013773,None,105.34011410013773,None,,,,,,,,,,,132,24,Female,2022-05-17_17h09.34.567,Boat,2022.1.1,59.99743211829064,
negative,negative,2,j,l,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,negative,negative,j,j,1,0.8407732001505792,106.35547110019252,107.36552350013517,107.34647790016606,None,106.35547110019252,None,106.35547110019252,None,106.35547110019252,None,108.17508272018749,None,108.17508272018749,None,108.17508272018749,None,,,,,,,,,,,132,24,Female,2022-05-17_17h09.34.567,Boat,2022.1.1,59.99743211829064,
neutral,positive,2,k,k,,,,,0,7,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,neutral,k,k,1,0.7107203998602927,108.21492750011384,109.21615200000815,109.19835950015113,None,108.21492750011384,None,108.21492750011384,None,108.21492750011384,None,109.89476861997973,None,109.89476861997973,None,109.89476861997973,None,,,,,,,,,,,132,24,Female,2022-05-17_17h09.34.567,Boat,2022.1.1,59.99743211829064,
