target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,None,0.0055555557,0.41296297,0,0,0,1.0333273600263055,None,27.254553519989713,None,28.423302899987902,None,28.423302899987902,None,0.075925924,-0.050925925,0,0,0,0.012287720019230619,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
,,,,,1,0,1,0,,,,,,,,,None,0.07962963,-0.09074074,0,0,0,None,None,None,None,30.10463349998463,None,30.10463349998463,None,0.11111111,-0.087037034,0,0,0,0.013349520013434812,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
,,,,,2,0,2,0,,,,,,,,,None,-0.21851853,-0.41574073,0,0,0,1.000024620007025,None,32.80435072000546,None,84.93913680000696,None,84.93913680000696,None,-0.11481482,-0.09907407,0,0,0,0.013796019979054108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
positive,positive,2,l,j,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,90.92236560001038,None,prac,1,1,2,positive,positive,l,l,1,1.9870133000076748,92.9539317000017,93.97353610000573,93.92883329998585,None,92.9539317000017,None,92.9539317000017,None,92.9539317000017,None,95.93257889998495,None,95.93257889998495,None,95.93257889998495,None,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
negative,positive,2,j,l,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,negative,j,j,1,1.0510506000136957,96.94657000000007,97.97199849999743,97.92704109998886,None,96.94657000000007,None,96.94657000000007,None,96.94657000000007,None,98.98269961999904,None,98.98269961999904,None,98.98269961999904,None,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
positive,negative,1,l,j,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,positive,l,l,1,0.986332600004971,98.99998950000736,100.01092229998903,99.9757399999944,None,98.99998950000736,None,98.99998950000736,None,98.99998950000736,None,100.97200202000386,None,100.97200202000386,None,100.97200202000386,None,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
positive,negative,2,l,j,,,,,0,3,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,positive,l,l,1,0.7801529999997001,100.99289659998612,102.00691080000252,101.98933209999814,None,100.99289659998612,None,100.99289659998612,None,100.99289659998612,None,102.75554401999398,None,102.75554401999398,None,102.75554401999398,None,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
positive,neutral,2,l,j,,,,,0,4,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,positive,l,l,1,0.7265019999758806,102.77387899998575,103.78690179999103,103.74202780000633,None,102.77387899998575,None,102.77387899998575,None,102.77387899998575,None,104.48287421998975,None,104.48287421998975,None,104.48287421998975,None,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
neutral,positive,1,k,k,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,neutral,k,k,1,0.8153160999936517,104.49766729999101,105.51010509999469,105.49214970000321,None,104.49766729999101,None,104.49766729999101,None,104.49766729999101,None,106.29972672001168,None,106.29972672001168,None,106.29972672001168,None,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
negative,negative,1,j,l,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,negative,j,j,1,0.7301975000009406,106.31551990000298,107.33763980001095,107.29423269999097,None,106.31551990000298,None,106.31551990000298,None,106.31551990000298,None,108.0324062199943,None,108.0324062199943,None,108.0324062199943,None,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
neutral,neutral,2,k,k,,,,,0,7,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,neutral,k,k,1,0.8566576000011992,108.0463621999952,109.05915620000451,109.04144709999673,None,108.0463621999952,None,108.0463621999952,None,108.0463621999952,None,109.89208012000017,None,109.89208012000017,None,109.89208012000017,None,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
negative,negative,2,j,l,,,,,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,negative,j,l,0,0.8923757999727968,109.90981979999924,110.91067539999494,110.89262389999931,None,109.90981979999924,None,109.90981979999924,None,109.90981979999924,None,111.79277689999435,None,111.79277689999435,None,111.79277689999435,None,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
neutral,neutral,1,k,k,,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,neutral,k,k,1,0.848909399996046,112.8122929999954,113.83796639999491,113.79288659998565,None,112.8122929999954,None,112.8122929999954,None,112.8122929999954,None,114.64808361999167,None,114.64808361999167,None,114.64808361999167,None,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
neutral,positive,2,k,k,,,,,0,10,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,neutral,k,k,1,0.9168009999848437,114.6638743999938,115.67836890000035,115.64030440000352,None,114.6638743999938,None,114.6638743999938,None,114.6638743999938,None,116.5674437199923,None,116.5674437199923,None,116.5674437199923,None,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
negative,neutral,2,j,l,,,,,0,11,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,negative,j,j,1,0.6572726999875158,116.58244180001202,117.59295409999322,117.57493339999928,None,116.58244180001202,None,116.58244180001202,None,116.58244180001202,None,118.22810662000848,None,118.22810662000848,None,118.22810662000848,None,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
neutral,negative,1,k,k,,,,,0,12,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,neutral,k,k,1,0.8461090000055265,118.2431791999843,119.26086790001136,119.22439729998587,None,118.2431791999843,None,118.2431791999843,None,118.2431791999843,None,120.07761302001018,None,120.07761302001018,None,120.07761302001018,None,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
positive,positive,1,l,j,,,,,0,13,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,positive,l,l,1,0.7691918000055011,120.09502670000074,121.10737250000238,121.07143029998406,None,120.09502670000074,None,120.09502670000074,None,120.09502670000074,None,121.84863281999424,None,121.84863281999424,None,121.84863281999424,None,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
positive,neutral,1,l,j,,,,,0,14,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,positive,l,l,1,0.8156240000098478,121.8633925000031,122.88793249998707,122.8613320000004,None,121.8633925000031,None,121.8633925000031,None,121.8633925000031,None,123.66587782000715,None,123.66587782000715,None,123.66587782000715,None,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
neutral,negative,2,k,k,,,,,0,15,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,negative,neutral,k,k,1,1.0121718999871518,123.68145549998735,124.69507580000209,124.65787289998843,None,123.68145549998735,None,123.68145549998735,None,123.68145549998735,None,125.67974782000238,None,125.67974782000238,None,125.67974782000238,None,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
negative,positive,1,j,l,,,,,0,16,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,negative,j,j,1,0.8464793000021018,125.69677290000254,126.71175539999967,126.67646889999742,None,125.69677290000254,None,125.69677290000254,None,125.69677290000254,None,127.53002921999723,None,127.53002921999723,None,127.53002921999723,None,,,,,,,,,,,116,24,Female,2022-05-05_11h13.01.300,Boat,2022.1.1,59.902801713026754,
