target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,None,0.037037037,-0.4,0,0,0,1.0225310396635905,None,30.534161939972545,None,70.86887289996957,None,70.86887289996957,None,0.11851852,-0.062962964,0,0,0,0.013106840022373945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,26,Female,2022-05-06_14h07.02.007,Boat,2022.1.1,60.07405930475167,
,,,,,1,0,1,0,,,,,,,,,None,0.14537036,-0.32314816,0,0,0,1.0056668400065973,None,78.18494773998391,None,130.40256000001682,None,130.40256000001682,None,-0.11018518,-0.075,0,0,0,0.013753940060269088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,26,Female,2022-05-06_14h07.02.007,Boat,2022.1.1,60.07405930475167,
neutral,positive,2,k,k,,,,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,139.074961300008,None,prac,2,2,2,positive,neutral,k,k,1,1.4915044999797828,141.1011844999739,142.11413629999151,142.07814240001608,None,141.1011844999739,None,141.1011844999739,None,141.1011844999739,None,143.5612708399887,None,143.5612708399887,None,143.5612708399887,None,,,,,,,,,,,119,26,Female,2022-05-06_14h07.02.007,Boat,2022.1.1,60.07405930475167,
positive,negative,2,l,j,,,,,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,positive,j,j,1,1.265990599989891,143.58079510001699,144.59289630001877,144.55853919999208,None,143.58079510001699,None,143.58079510001699,None,143.58079510001699,None,145.83119584001832,None,145.83119584001832,None,145.83119584001832,None,,,,,,,,,,,119,26,Female,2022-05-06_14h07.02.007,Boat,2022.1.1,60.07405930475167,
neutral,negative,1,k,k,,,,,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,neutral,k,k,1,1.0636204999755137,145.85069180000573,146.87351950001903,146.8320333000156,None,145.85069180000573,None,145.85069180000573,None,145.85069180000573,None,147.89591633998788,None,147.89591633998788,None,147.89591633998788,None,,,,,,,,,,,119,26,Female,2022-05-06_14h07.02.007,Boat,2022.1.1,60.07405930475167,
neutral,neutral,2,k,k,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,neutral,k,k,1,0.8136905999854207,147.9159687999636,148.9301505999756,148.894438599993,None,147.9159687999636,None,147.9159687999636,None,147.9159687999636,None,149.71163774001178,None,149.71163774001178,None,149.71163774001178,None,,,,,,,,,,,119,26,Female,2022-05-06_14h07.02.007,Boat,2022.1.1,60.07405930475167,
negative,negative,1,j,l,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,negative,l,l,1,1.0779993000323884,149.7333260999876,150.7425155999954,150.70870479999576,None,149.7333260999876,None,149.7333260999876,None,149.7333260999876,None,151.79342953999293,None,151.79342953999293,None,151.79342953999293,None,,,,,,,,,,,119,26,Female,2022-05-06_14h07.02.007,Boat,2022.1.1,60.07405930475167,
neutral,positive,1,k,k,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,neutral,k,k,1,1.078655900026206,151.81123399996432,152.8191794999875,152.79884679999668,None,151.81123399996432,None,151.81123399996432,None,151.81123399996432,None,153.87555223999078,None,153.87555223999078,None,153.87555223999078,None,,,,,,,,,,,119,26,Female,2022-05-06_14h07.02.007,Boat,2022.1.1,60.07405930475167,
neutral,neutral,1,k,k,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,k,k,1,0.9203546000062488,153.8947410999681,154.915274399973,154.87697529996512,None,153.8947410999681,None,153.8947410999681,None,153.8947410999681,None,155.7984005400096,None,155.7984005400096,None,155.7984005400096,None,,,,,,,,,,,119,26,Female,2022-05-06_14h07.02.007,Boat,2022.1.1,60.07405930475167,
negative,negative,2,j,l,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,negative,negative,l,l,1,1.272935300017707,155.81971010001143,156.8234130999772,156.802893999964,None,155.81971010001143,None,155.81971010001143,None,155.81971010001143,None,158.0735862399917,None,158.0735862399917,None,158.0735862399917,None,,,,,,,,,,,119,26,Female,2022-05-06_14h07.02.007,Boat,2022.1.1,60.07405930475167,
