target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
neutral,positive,2,k,k,,,,,,,,,8,13,157,13,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,neutral,k,k,1,0.7916502000298351,510.0762414999772,511.0884991999483,511.07193279999774,None,510.0762414999772,None,510.0762414999772,None,510.0762414999772,None,511.8547184300143,None,511.8547184300143,None,511.8547184300143,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
neutral,neutral,2,k,k,,,,,,,,,8,14,158,10,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.7502829000586644,511.8709214000264,512.8884897999233,512.8715652999235,None,511.8709214000264,None,511.8709214000264,None,511.8709214000264,None,513.6066872299882,None,513.6066872299882,None,513.6066872299882,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
negative,neutral,1,j,l,,,,,,,,,8,15,159,3,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,negative,j,j,1,0.9416507999412715,513.6222080999287,514.6223208999727,514.6059295999585,None,513.6222080999287,None,513.6222080999287,None,513.6222080999287,None,515.5516463299748,None,515.5516463299748,None,515.5516463299748,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
positive,negative,2,l,j,,,,,,,,,8,16,160,14,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,positive,l,l,1,0.7714157000882551,515.5707930999342,516.5885268999264,516.5508884999435,None,515.5707930999342,None,515.5707930999342,None,515.5707930999342,None,517.3239622299327,None,517.3239622299327,None,517.3239622299327,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
positive,negative,1,l,j,,,,,,,,,8,17,161,5,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,positive,l,l,1,0.7625811999896541,517.3399275999982,518.3556720999768,518.3197734999703,None,517.3399275999982,None,517.3399275999982,None,517.3399275999982,None,519.0897645300022,None,519.0897645300022,None,519.0897645300022,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
neutral,positive,2,k,k,,,,,,,,,9,0,162,13,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,neutral,k,k,1,0.8292409999994561,519.1051023999462,520.1201041999739,520.1005846000044,None,519.1051023999462,None,519.1051023999462,None,519.1051023999462,None,520.9221800299595,None,520.9221800299595,None,520.9221800299595,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
positive,positive,1,l,j,,,,,,,,,9,1,163,2,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,positive,l,l,1,0.7700525000691414,520.937443499919,521.9386677999282,521.9222858999856,None,520.937443499919,None,520.937443499919,None,520.937443499919,None,522.694043129962,None,522.694043129962,None,522.694043129962,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
negative,positive,2,j,l,,,,,,,,,9,2,164,15,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,negative,j,j,1,0.8301255999831483,522.7103782999329,523.7225348999491,523.6889773999574,None,522.7103782999329,None,522.7103782999329,None,522.7103782999329,None,524.5286021299428,None,524.5286021299428,None,524.5286021299428,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
negative,negative,2,j,l,,,,,,,,,9,3,165,9,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,negative,j,j,1,0.6673764000879601,524.5441574999131,525.5553732999833,525.5383620000212,None,524.5441574999131,None,524.5441574999131,None,524.5441574999131,None,526.1985743300058,None,526.1985743300058,None,526.1985743300058,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
negative,neutral,1,j,l,,,,,,,,,9,4,166,3,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,negative,j,j,1,0.7959212000714615,526.2136659999378,527.223508499912,527.1893644999946,None,526.2136659999378,None,526.2136659999378,None,526.2136659999378,None,527.9966676299694,None,527.9966676299694,None,527.9966676299694,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
