target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,None,0.25277779,-0.40462962,0,0,0,0.9998899399761285,None,24.462266429999183,None,74.87459979999949,None,74.87459979999949,None,-0.09259259,-0.07962963,0,0,0,0.012670629997955984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,23,Female,2022-05-06_15h56.55.880,Main,2022.1.1,60.01237455197935,
positive,negative,2,l,j,,,,,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,78.10486479999963,None,prac,2,2,2,negative,positive,l,l,1,1.5752960999998322,80.13253079999959,81.13816709999992,81.11817639999936,None,80.13253079999959,None,80.13253079999959,None,80.13253079999959,None,82.7000981000001,None,82.7000981000001,None,82.7000981000001,None,,,,,,,,,,,212,23,Female,2022-05-06_15h56.55.880,Main,2022.1.1,60.01237455197935,
positive,positive,1,l,j,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,positive,l,k,0,1.404316000000108,83.71644930000002,84.72201010000026,84.70259110000006,None,83.71644930000002,None,83.71644930000002,None,83.71644930000002,None,86.10977429999912,None,86.10977429999912,None,86.10977429999912,None,,,,,,,,,,,212,23,Female,2022-05-06_15h56.55.880,Main,2022.1.1,60.01237455197935,
neutral,negative,2,k,k,,,,,0,2,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,neutral,k,k,1,0.913435099999333,87.1312997999994,88.14364700000078,88.12423909999961,None,87.1312997999994,None,87.1312997999994,None,87.1312997999994,None,89.02518692999965,None,89.02518692999965,None,89.02518692999965,None,,,,,,,,,,,212,23,Female,2022-05-06_15h56.55.880,Main,2022.1.1,60.01237455197935,
positive,positive,2,l,j,,,,,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,positive,l,k,0,-0.684187999999267,89.04693869999937,None,None,None,89.04693869999937,None,89.04693869999937,None,89.04693869999937,None,89.35911510000005,None,89.35911510000005,None,89.35911510000005,None,,,,,,,,,,,212,23,Female,2022-05-06_15h56.55.880,Main,2022.1.1,60.01237455197935,
neutral,negative,1,k,k,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,neutral,k,k,1,0.7482214000010572,92.38138099999924,93.39903699999923,93.3606204000007,None,92.38138099999924,None,92.38138099999924,None,92.38138099999924,None,94.1085686299999,None,94.1085686299999,None,94.1085686299999,None,,,,,,,,,,,212,23,Female,2022-05-06_15h56.55.880,Main,2022.1.1,60.01237455197935,
neutral,positive,1,k,k,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,neutral,k,k,1,0.7332428000008804,94.13251669999954,95.15230279999923,95.1136815000009,None,94.13251669999954,None,94.13251669999954,None,94.13251669999954,None,95.84472583000078,None,95.84472583000078,None,95.84472583000078,None,,,,,,,,,,,212,23,Female,2022-05-06_15h56.55.880,Main,2022.1.1,60.01237455197935,
positive,negative,1,l,j,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,positive,l,l,1,1.186068900000464,95.86969150000004,96.88607009999942,96.84745010000006,None,95.86969150000004,None,95.86969150000004,None,95.86969150000004,None,98.03371492999995,None,98.03371492999995,None,98.03371492999995,None,,,,,,,,,,,212,23,Female,2022-05-06_15h56.55.880,Main,2022.1.1,60.01237455197935,
negative,neutral,2,j,l,,,,,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,negative,j,j,1,0.9259463999987929,98.05597640000087,99.07250340000064,99.05276120000053,None,98.05597640000087,None,98.05597640000087,None,98.05597640000087,None,99.96150073000044,None,99.96150073000044,None,99.96150073000044,None,,,,,,,,,,,212,23,Female,2022-05-06_15h56.55.880,Main,2022.1.1,60.01237455197935,
positive,neutral,2,l,j,,,,,0,8,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,positive,l,l,1,0.8046403000007558,99.98205609999968,101.00014320000082,100.96181050000087,None,99.98205609999968,None,99.98205609999968,None,99.98205609999968,None,101.7700188299992,None,101.7700188299992,None,101.7700188299992,None,,,,,,,,,,,212,23,Female,2022-05-06_15h56.55.880,Main,2022.1.1,60.01237455197935,
