target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,None,0.23518519,-0.3101852,0,0,0,1.0218366003391566,None,33.524101659999,None,84.81044960000145,None,84.81044960000145,None,-0.10092592,-0.08425926,0,0,0,0.013144360011210665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
positive,neutral,1,l,j,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,88.72459120000713,None,prac,1,1,1,neutral,positive,j,j,1,1.686323199988692,90.7598610999994,91.77488209999865,91.72978890000377,None,90.7598610999994,None,90.7598610999994,None,90.7598610999994,None,93.43639580000308,None,93.43639580000308,None,93.43639580000308,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
negative,neutral,1,j,l,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,negative,l,l,1,0.9837808000011137,94.44991850000224,95.47305329999654,95.42990760000248,None,94.44991850000224,None,94.44991850000224,None,94.44991850000224,None,96.41900145999679,None,96.41900145999679,None,96.41900145999679,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
positive,negative,1,l,j,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,positive,j,j,1,0.9903864999942016,96.43774389999453,97.44668680000177,97.41116340000008,None,96.43774389999453,None,96.43774389999453,None,96.43774389999453,None,98.41353425999986,None,98.41353425999986,None,98.41353425999986,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
neutral,negative,2,k,k,,,,,0,3,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,neutral,k,k,1,0.8460588000016287,98.42927010000858,99.43421720000333,99.41425660000823,None,98.42927010000858,None,98.42927010000858,None,98.42927010000858,None,100.26192726000735,None,100.26192726000735,None,100.26192726000735,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
positive,neutral,2,l,j,,,,,0,4,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,positive,j,j,1,0.9555947000044398,100.2800966000068,101.29011270000774,101.26361270000052,None,100.2800966000068,None,100.2800966000068,None,100.2800966000068,None,102.21871786000847,None,102.21871786000847,None,102.21871786000847,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
negative,negative,2,j,l,,,,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,negative,l,l,1,0.9621500999928685,102.23400910000782,103.24930169999425,103.21374239999568,None,102.23400910000782,None,102.23400910000782,None,102.23400910000782,None,104.18343706000596,None,104.18343706000596,None,104.18343706000596,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
negative,neutral,2,j,l,,,,,0,6,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,negative,l,l,1,0.7305301000014879,104.1979849000054,105.19677930000762,105.18050770000264,None,104.1979849000054,None,104.1979849000054,None,104.1979849000054,None,105.915799960008,None,105.915799960008,None,105.915799960008,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
neutral,neutral,1,k,k,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,neutral,k,k,1,0.8344302000041353,105.931287600004,106.9584232000052,106.91325670000515,None,105.931287600004,None,105.931287600004,None,105.931287600004,None,107.75236885999911,None,107.75236885999911,None,107.75236885999911,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
negative,positive,2,j,l,,,,,0,8,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,negative,l,l,1,0.9458506000082707,107.76793859999452,108.78994919999968,108.7470680999977,None,107.76793859999452,None,107.76793859999452,None,107.76793859999452,None,109.70090026000398,None,109.70090026000398,None,109.70090026000398,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
positive,positive,1,l,j,,,,,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,positive,j,j,1,0.8186643999943044,109.71641789999558,110.73989090000396,110.6974712999945,None,109.71641789999558,None,109.71641789999558,None,109.71641789999558,None,111.52282216000603,None,111.52282216000603,None,111.52282216000603,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
positive,positive,2,l,j,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,positive,j,j,1,1.1113586999999825,111.53820799999812,112.55872549999913,112.5139807999949,None,111.53820799999812,None,111.53820799999812,None,111.53820799999812,None,113.6348169600038,None,113.6348169600038,None,113.6348169600038,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
neutral,negative,1,k,k,,,,,0,11,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,neutral,k,k,1,0.7107194999989588,113.65076269999554,114.66423199999554,114.62788280000677,None,113.65076269999554,None,113.65076269999554,None,113.65076269999554,None,115.34848835999728,None,115.34848835999728,None,115.34848835999728,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
neutral,positive,2,k,k,,,,,0,12,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,neutral,k,k,1,0.9124144999950659,115.36377130000619,116.37991380000312,116.34430850000354,None,115.36377130000619,None,115.36377130000619,None,115.36377130000619,None,117.26405156000109,None,117.26405156000109,None,117.26405156000109,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
negative,negative,1,j,l,,,,,0,13,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,negative,l,l,1,1.0378988000011304,117.27846339999815,118.27979040000355,118.27979040000355,None,117.27846339999815,None,117.27846339999815,None,117.27846339999815,None,119.30227255999634,None,119.30227255999634,None,119.30227255999634,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
negative,positive,1,j,l,,,,,0,14,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,negative,l,l,1,0.6492584999941755,119.31831440000678,120.33203479999793,120.2969185999973,None,119.31831440000678,None,119.31831440000678,None,119.31831440000678,None,120.95435906000202,None,120.95435906000202,None,120.95435906000202,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
neutral,neutral,2,k,k,,,,,0,15,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,k,k,1,0.8061403000028804,120.96889829999418,121.99200890000793,121.9474676999962,None,120.96889829999418,None,120.96889829999418,None,120.96889829999418,None,122.76404646000591,None,122.76404646000591,None,122.76404646000591,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
positive,negative,2,l,j,,,,,0,16,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,positive,j,j,1,0.8026884999999311,122.7801746000041,123.78061760000128,123.74733250000281,None,122.7801746000041,None,122.7801746000041,None,122.7801746000041,None,124.5689915600029,None,124.5689915600029,None,124.5689915600029,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
neutral,positive,1,k,k,,,,,0,17,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,neutral,k,k,1,1.3011699999915436,124.58298200000718,125.59464189999562,125.5772108999954,None,124.58298200000718,None,124.58298200000718,None,124.58298200000718,None,126.86964005999616,None,126.86964005999616,None,126.86964005999616,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
negative,positive,1,j,l,,,,,1,0,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,negative,l,l,1,0.8773099999962142,126.88677290000487,127.906942600006,127.86535590000858,None,126.88677290000487,None,126.88677290000487,None,126.88677290000487,None,128.7509396600013,None,128.7509396600013,None,128.7509396600013,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
neutral,positive,1,k,k,,,,,1,1,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,neutral,k,k,1,0.6794403000094462,128.76703730000008,129.79250799999863,129.74800979999418,None,128.76703730000008,None,128.76703730000008,None,128.76703730000008,None,130.4329216599959,None,130.4329216599959,None,130.4329216599959,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
neutral,negative,1,k,k,,,,,1,2,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,neutral,k,k,1,1.3860143000056269,130.44789359999413,131.46422920000623,131.44585010000446,None,130.44789359999413,None,130.44789359999413,None,130.44789359999413,None,132.82068886000488,None,132.82068886000488,None,132.82068886000488,None,,,,,,,,,,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.97638130099012,
