target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,None,0.21018519,0.14074074,0,0,0,1.0102219900099954,None,20.341039529999943,None,43.2739689,None,43.2739689,None,-0.10462963,-0.125,0,0,0,0.012831329999698937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,24,Male,2022-05-25_11h13.16.531,Main,2022.1.1,60.053026822666595,
neutral,neutral,2,k,k,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,46.17121189999989,None,prac,2,2,2,neutral,neutral,k,k,1,1.3667037000000164,48.22556540000005,49.23372969999991,49.19474420000006,None,48.22556540000005,None,48.22556540000005,None,48.22556540000005,None,50.55706312999992,None,50.55706312999992,None,50.55706312999992,None,,,,,,,,,,,224,24,Male,2022-05-25_11h13.16.531,Main,2022.1.1,60.053026822666595,
negative,positive,2,j,l,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,negative,j,j,1,0.9654579000002741,50.60484989999986,51.61783659999992,51.57936770000015,None,50.60484989999986,None,50.60484989999986,None,50.60484989999986,None,52.52589163000012,None,52.52589163000012,None,52.52589163000012,None,,,,,,,,,,,224,24,Male,2022-05-25_11h13.16.531,Main,2022.1.1,60.053026822666595,
positive,positive,1,l,j,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,positive,l,l,1,0.838220900000124,52.5644169000002,53.571880299999975,53.55305950000002,None,52.5644169000002,None,52.5644169000002,None,52.5644169000002,None,54.3656542300002,None,54.3656542300002,None,54.3656542300002,None,,,,,,,,,,,224,24,Male,2022-05-25_11h13.16.531,Main,2022.1.1,60.053026822666595,
neutral,positive,1,k,k,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,neutral,k,k,1,0.7092367000000195,54.41406139999981,55.42471280000018,55.386199099999885,None,54.41406139999981,None,54.41406139999981,None,54.41406139999981,None,56.077594630000206,None,56.077594630000206,None,56.077594630000206,None,,,,,,,,,,,224,24,Male,2022-05-25_11h13.16.531,Main,2022.1.1,60.053026822666595,
neutral,positive,2,k,k,,,,,0,4,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,neutral,k,l,0,0.668869800000266,56.11557440000024,57.13131990000011,57.11230969999997,None,56.11557440000024,None,56.11557440000024,None,56.11557440000024,None,57.770965799999885,None,57.770965799999885,None,57.770965799999885,None,,,,,,,,,,,224,24,Male,2022-05-25_11h13.16.531,Main,2022.1.1,60.053026822666595,
positive,neutral,1,l,j,,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,positive,l,l,1,0.83923649999997,58.81597569999985,59.819603299999926,59.79982199999995,None,58.81597569999985,None,58.81597569999985,None,58.81597569999985,None,60.61757153000026,None,60.61757153000026,None,60.61757153000026,None,,,,,,,,,,,224,24,Male,2022-05-25_11h13.16.531,Main,2022.1.1,60.053026822666595,
negative,positive,1,j,l,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,negative,j,j,1,0.741791600000397,60.65118729999995,61.666554800000085,61.627969499999836,None,60.65118729999995,None,60.65118729999995,None,60.65118729999995,None,62.36023132999999,None,62.36023132999999,None,62.36023132999999,None,,,,,,,,,,,224,24,Male,2022-05-25_11h13.16.531,Main,2022.1.1,60.053026822666595,
negative,negative,2,j,l,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,negative,j,j,1,0.8926893000002565,62.39723890000005,63.39834440000004,63.38018809999994,None,62.39723890000005,None,62.39723890000005,None,62.39723890000005,None,64.25758413000013,None,64.25758413000013,None,64.25758413000013,None,,,,,,,,,,,224,24,Male,2022-05-25_11h13.16.531,Main,2022.1.1,60.053026822666595,
positive,positive,2,l,j,,,,,0,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,positive,l,l,1,0.7731629999998404,64.27866799999993,65.28560160000006,65.26618009999993,None,64.27866799999993,None,64.27866799999993,None,64.27866799999993,None,66.03401503000005,None,66.03401503000005,None,66.03401503000005,None,,,,,,,,,,,224,24,Male,2022-05-25_11h13.16.531,Main,2022.1.1,60.053026822666595,
