target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
positive,positive,2,l,j,,,,,,,,,1,2,20,11,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,positive,j,j,1,0.7396683000001758,190.4130752000001,191.43067689999998,191.38924339999994,None,190.4130752000001,None,190.4130752000001,None,190.4130752000001,None,192.13024246000023,None,192.13024246000023,None,192.13024246000023,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
negative,negative,2,j,l,,,,,,,,,1,3,21,9,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,negative,l,l,1,0.8464364000001297,192.1526818000002,193.16910370000005,193.1312456999999,None,192.1526818000002,None,192.1526818000002,None,192.1526818000002,None,193.97983156,None,193.97983156,None,193.97983156,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
positive,negative,2,l,j,,,,,,,,,1,4,22,14,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,positive,j,j,1,1.0399406999999883,194.00139420000005,195.01252730000033,194.9916390000003,None,194.00139420000005,None,194.00139420000005,None,194.00139420000005,None,196.0253702600002,None,196.0253702600002,None,196.0253702600002,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
positive,negative,1,l,j,,,,,,,,,1,5,23,5,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,positive,j,j,1,0.9118137000000388,196.0451766000001,197.06047780000017,197.0196036000002,None,196.0451766000001,None,196.0451766000001,None,196.0451766000001,None,197.93955036000025,None,197.93955036000025,None,197.93955036000025,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
neutral,positive,2,k,k,,,,,,,,,1,6,24,13,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,neutral,k,k,1,0.7352207999997518,197.95980069999996,198.97784000000001,198.93767530000014,None,197.95980069999996,None,197.95980069999996,None,197.95980069999996,None,199.6772583599999,None,199.6772583599999,None,199.6772583599999,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
negative,positive,1,j,l,,,,,,,,,1,7,25,6,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,negative,l,l,1,0.7043505999999979,199.69801210000014,200.70157710000012,200.6821070000001,None,199.69801210000014,None,199.69801210000014,None,199.69801210000014,None,201.38426856000015,None,201.38426856000015,None,201.38426856000015,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
positive,neutral,1,l,j,,,,,,,,,1,8,26,8,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,positive,j,j,1,0.9845626000001175,201.40435460000026,202.40947499999993,202.38914569999997,None,201.40435460000026,None,201.40435460000026,None,201.40435460000026,None,203.3735028600003,None,203.3735028600003,None,203.3735028600003,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
neutral,neutral,2,k,k,,,,,,,,,1,9,27,10,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.7430703999998514,203.39491980000003,204.41665890000013,204.37704380000014,None,203.39491980000003,None,203.39491980000003,None,203.39491980000003,None,205.11629355999995,None,205.11629355999995,None,205.11629355999995,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
neutral,negative,2,k,k,,,,,,,,,1,10,28,16,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,neutral,k,k,1,0.6437630000000354,205.14198020000003,206.15269549999994,206.1156589000002,None,205.14198020000003,None,205.14198020000003,None,205.14198020000003,None,206.76352586000021,None,206.76352586000021,None,206.76352586000021,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
positive,positive,1,l,j,,,,,,,,,1,11,29,2,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,positive,j,j,1,0.9604934999997568,206.78502160000016,207.79611220000015,207.77661579999995,None,206.78502160000016,None,206.78502160000016,None,206.78502160000016,None,208.72741546000034,None,208.72741546000034,None,208.72741546000034,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
